 Which k-point you are on :            1
 ******************************* 
 ******************************* 
 start for in =               1
  Vcoulb n1   ig   ga  gb  gc      
     1.24854439       1     617       4       3       4
     1.09406771       1     618       5       3       4
     0.52521253       1     619      -6       3       4
     0.58480379       1     620      -5       3       4
     0.65761599       1     621      -4       3       4
     0.74739053       1     622      -3       3       4
     0.85825732       1     623      -2       3       4
     0.99285027       1     624      -1       3       4
     1.02340663       1     625       0       4       4
     1.14644474       1     626       1       4       4
     1.23427484       1     627       2       4       4
     1.24854439       1     628       3       4       4
     1.18172819       1     629       4       4       4
     1.06588956       1     630       5       4       4
     0.50011608       1     631      -6       4       4
     0.55324329       1     632      -5       4       4
     0.61713742       1     633      -4       4       4
     0.69443374       1     634      -3       4       4
     0.78781879       1     635      -2       4       4
     0.89866777       1     636      -1       4       4
     0.89866777       1     637       0       5       4
     0.99285027       1     638       1       5       4
     1.06588956       1     639       2       5       4
     1.09406771       1     640       3       5       4
     1.06588956       1     641       4       5       4
     0.99285027       1     642       5       5       4
     0.47348107       1     643      -6       5       4
     0.51989109       1     644      -5       5       4
     0.57463251       1     645      -4       5       4
     0.63931705       1     646      -3       5       4
     0.71532362       1     647      -2       5       4
     0.80282621       1     648      -1       5       4
     0.57322237       1     649       0      -6       4
     0.56363374       1     650       1      -6       4
     0.54703385       1     651       2      -6       4
     0.52521253       1     652       3      -6       4
     0.50011608       1     653       4      -6       4
     0.47348107       1     654       5      -6       4
     0.48243851       1     655      -6      -6       4
     0.50873115       1     656      -5      -6       4
     0.53294478       1     657      -4      -6       4
     0.55324329       1     658      -3      -6       4
     0.56768386       1     659      -2      -6       4
     0.57463251       1     660      -1      -6       4
     0.64127515       1     661       0      -5       4
     0.63166029       1     662       1      -5       4
     0.61194402       1     663       2      -5       4
     0.58480379       1     664       3      -5       4
     0.55324329       1     665       4      -5       4
     0.51989109       1     666       5      -5       4
     0.50873115       1     667      -6      -5       4
     0.54221408       1     668      -5      -5       4
     0.57463251       1     669      -4      -5       4
     0.60357230       1     670      -3      -5       4
     0.62609489       1     671      -2      -5       4
     0.63931705       1     672      -1      -5       4
     0.72365777       1     673       0      -4       4
     0.71532362       1     674       1      -4       4
     0.69194918       1     675       2      -4       4
     0.65761599       1     676       3      -4       4
     0.61713742       1     677       4      -4       4
     0.57463251       1     678       5      -4       4
     0.53294478       1     679      -6      -4       4
     0.57463251       1     680      -5      -4       4
     0.61713742       1     681      -4      -4       4
     0.65761599       1     682      -3      -4       4
     0.69194918       1     683      -2      -4       4
     0.71532362       1     684      -1      -4       4
     0.82284989       1     685       0      -3       4
     0.81872531       1     686       1      -3       4
     0.79149163       1     687       2      -3       4
     0.74739053       1     688       3      -3       4
     0.69443374       1     689       4      -3       4
     0.63931705       1     690       5      -3       4
     0.55324329       1     691      -6      -3       4
     0.60357230       1     692      -5      -3       4
     0.65761599       1     693      -4      -3       4
     0.71260891       1     694      -3      -3       4
     0.76346528       1     695      -2      -3       4
     0.80282621       1     696      -1      -3       4
     0.93914233       1     697       0      -2       4
     0.94538255       1     698       1      -2       4
     0.91536272       1     699       2      -2       4
     0.85825732       1     700       3      -2       4
     0.78781879       1     701       4      -2       4
     0.71532362       1     702       5      -2       4
     0.56768386       1     703      -6      -2       4
     0.62609489       1     704      -5      -2       4
     0.69194918       1     705      -4      -2       4
     0.76346528       1     706      -3      -2       4
     0.83560802       1     707      -2      -2       4
     0.89866777       1     708      -1      -2       4
     1.06588956       1     709       0      -1       4
     1.09406771       1     710       1      -1       4
     1.06588956       1     711       2      -1       4
     0.99285027       1     712       3      -1       4
     0.89866777       1     713       4      -1       4
     0.80282621       1     714       5      -1       4
     0.57463251       1     715      -6      -1       4
     0.63931705       1     716      -5      -1       4
     0.71532362       1     717      -4      -1       4
     0.80282621       1     718      -3      -1       4
     0.89866777       1     719      -2      -1       4
     0.99285027       1     720      -1      -1       4
     0.94538255       1     721       0       0       5
     0.99285027       1     722       1       0       5
     1.00023216       1     723       2       0       5
     0.96487703       1     724       3       0       5
     0.89866777       1     725       4       0       5
     0.81872531       1     726       5       0       5
     0.52521253       1     727      -6       0       5
     0.57892622       1     728      -5       0       5
     0.64127515       1     729      -4       0       5
     0.71260891       1     730      -3       0       5
     0.79149163       1     731      -2       0       5
     0.87276411       1     732      -1       0       5
     0.99285027       1     733       0       1       5
     1.06588956       1     734       1       1       5
     1.09406771       1     735       2       1       5
     1.06588956       1     736       3       1       5
     0.99285027       1     737       4       1       5
     0.89866777       1     738       5       1       5
     0.51989109       1     739      -6       1       5
     0.57463251       1     740      -5       1       5
     0.63931705       1     741      -4       1       5
     0.71532362       1     742      -3       1       5
     0.80282621       1     743      -2       1       5
     0.89866777       1     744      -1       1       5
     1.00023216       1     745       0       2       5
     1.09406771       1     746       1       2       5
     1.14644474       1     747       2       2       5
     1.13536772       1     748       3       2       5
     1.06588956       1     749       4       2       5
     0.96487703       1     750       5       2       5
     0.50873115       1     751      -6       2       5
     0.56230285       1     752      -5       2       5
     0.62609489       1     753      -4       2       5
     0.70205116       1     754      -3       2       5
     0.79149163       1     755      -2       2       5
     0.89330254       1     756      -1       2       5
     0.96487703       1     757       0       3       5
     1.06588956       1     758       1       3       5
